,CMI
% Below High,0.0144
% Held by Institutions,0.8183
52-Wk Range,['184.28 - 254.09']
Annual Dividend $,6.28
Annual Dividend %,0.025099999999999997
Ask,251.5
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,234.0
Bid Size,100.0
Closing Price,250.42
Day Change $,-0.44
Day Change %,-0.0018
Day High,251.78
Day Low,249.69
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",13.42
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.287
Last (size),9.0
Last (time),5:00p ET 11/25/22
Market Cap,35.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.67
Prev Close,250.86
Shares Outstanding,141.0M
Short Interest,0.0235
Today's Open,251.11
Volume,253387.0
Volume 10-day Avg,989467.0
Volume Past Day,(Light)
