,KOP
% Below High,0.12380000000000001
% Held by Institutions,0.9022
52-Wk Range,['20.11 - 33.68']
Annual Dividend $,0.2
Annual Dividend %,0.0068000000000000005
Ask,34.4
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.8
Bid,11.86
Bid Size,100.0
Closing Price,29.51
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-12 00:00:00
"EPS (TTM, GAAP)",3.38
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.413
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,618.2M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",8.74
Prev Close,29.51
Shares Outstanding,20.9M
Short Interest,0.023399999999999997
Today's Open,
Volume,35895.0
Volume 10-day Avg,83358.0
Volume Past Day,(Light)
