,KOP
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.02985074626865658
Growth 1yr High Est,-0.004854368932038944
Growth 1yr Consensus Est,-0.017352557600347762
Growth 2yr Low Est,0.03122847301951781
Growth 2yr High Est,0.10732891309495624
Growth 2yr Consensus Est,0.06927869305723702
Growth 5yr Low Est,0.059633972341428365
Growth 5yr High Est,0.09744127321586105
Growth 5yr Consensus Est,0.0785376227786447
Growth 5yr Actual/Est,0.08916910399408406
Growth 3yr Historic,0.06663941278268265
