,NAPA
% Above Low,0.2872
% Held by Institutions,0.9664
52-Wk Range,['12.64 - 23.57']
Annual Dividend $,
Annual Dividend %,
Ask,19.69
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,
Bid,14.0
Bid Size,100.0
Closing Price,16.27
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.52
Ex-dividend Date,No dividend
Historical Volatility,0.38200000000000006
Last (size),17.0
Last (time),5:00p ET 11/25/22
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",31.18
Prev Close,16.27
Shares Outstanding,115.2M
Short Interest,0.0325
Today's Open,
Volume,1027714.0
Volume 10-day Avg,657859.0
Volume Past Day,(Heavy Day)
