,NAPA
Price/Earnings (TTM),31.18471
Price/Sales (TTM),5.03086
Price/Book (MRQ),2.16259
Price/Cash Flow (TTM),27.03198
5yr Low,12.64
5yr High,25.25
5yr Avg Return,-0.021199999999999993
Short Int Current Month,1381702.0
Short Int Prev Month,1820805.0
Short Int Pct of Float,0.0324736
Days to Cover,3.94658
Float,111.2438
Shares Outstanding,115.1842
Institutions Holding Shares,175.0
% Held by Institutions,0.966361
FCF Growth 5yr,-2.4122313150387034
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
