,CDAY
% Above Low,0.5522
% Held by Institutions,1.0454999999999999
52-Wk Range,['43.23 - 113.76']
Annual Dividend $,
Annual Dividend %,
Ask,73.33
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.5
Bid,51.26
Bid Size,200.0
Closing Price,67.1
Day Change $,0.22
Day Change %,0.0033
Day High,67.29
Day Low,66.07
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.51
Ex-dividend Date,No dividend
Historical Volatility,0.556
Last (size),100.0
Last (time),5:00p ET 11/25/22
Market Cap,10.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,66.88
Shares Outstanding,153.6M
Short Interest,0.065
Today's Open,66.48
Volume,342106.0
Volume 10-day Avg,1878433.0
Volume Past Day,(Light)
