,CDAY
Price/Earnings (TTM),
Price/Sales (TTM),8.6447
Price/Book (MRQ),5.02224
Price/Cash Flow (TTM),2103.309
5yr Low,28.65
5yr High,130.37
5yr Avg Return,0.27756000000000003
EPS Growth 5yr,
Revenue Growth 5yr,0.0777989
Dividend Growth 5yr,
Short Int Current Month,9842520.0
Short Int Prev Month,10304999.0
Short Int Pct of Float,0.0649803
Days to Cover,3.11
Float,152.1087
Shares Outstanding,153.5949
Institutions Holding Shares,524.0
% Held by Institutions,1.045528
FCF Growth 5yr,-3.5063492063492063
