,POWW
Next Earnings Announcement,2023-02-13 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-2.8888888888888893
Growth 2yr High Est,2.0000000000000004
Growth 2yr Consensus Est,-0.4444444444444444
Growth 5yr Low Est,-2.8888888888888893
Growth 5yr High Est,2.0000000000000004
Growth 5yr Consensus Est,-0.4444444444444444
Growth 5yr Actual/Est,5.3694885361552025
Growth 3yr Historic,-0.9761904761904763
