,POWW
% Above Low,0.041600000000000005
% Held by Institutions,0.2815
52-Wk Range,['2.05 - 6.33']
Annual Dividend $,
Annual Dividend %,
Ask,2.13
Ask Size,2000.0
B/A Ratio,0.85
B/A Size,1700x2000
Beta,0.3
Bid,2.12
Bid Size,1700.0
Day Change $,0.0
Day Change %,0.0
Day High,2.17
Day Low,2.13
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.2
Ex-dividend Date,No dividend
Historical Volatility,0.623
Last (size),100.0
Last (time),11:19a ET 11/28/22
Market Cap,250.2M
"P/E Ratio (TTM, GAAP)",10.43
Prev Close,2.13
Price,2.13
Shares Outstanding,117.4M
Short Interest,0.0962
Today's Open,2.15
Volume Past Day,(Light)
