,POWW
Price/Earnings (TTM),10.43146
Price/Sales (TTM),0.97513
Price/Book (MRQ),0.65885
Price/Cash Flow (TTM),5.95479
5yr Low,0.96
5yr High,10.37
5yr Avg Return,0.2975166666666667
Short Int Current Month,8450732.0
Short Int Prev Month,8381584.0
Short Int Pct of Float,0.0961748
Days to Cover,5.32395
Float,87.86844
Shares Outstanding,117.4498
Institutions Holding Shares,179.0
% Held by Institutions,0.28154
FCF Growth 5yr,-0.22408970967303665
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
