,NFLX
% Above Low,0.7549
% Held by Institutions,0.7779
52-Wk Range,['162.71 - 676.41']
Annual Dividend $,
Annual Dividend %,
Ask,282.94
Ask Size,100.0
Ask close,303.6
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,282.56
Bid Size,100.0
Bid close,266.71
Change Since Close,-2.86| |(-1.00%)
Closing Price,285.54
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",10.61
Ex-dividend Date,No dividend
Historical Volatility,0.735
Last (size),20.0
Last (time),1:00p ET 11/25/22
Last Trade,282.68
Market Cap,127.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",26.92
Prev Close,285.54
Shares Outstanding,445.0M
Short Interest,0.0248
Today's Open,
Volume,6162.0
Volume 10-day Avg,9161358.0
Volume Past Day,(Light)
