,NFLX
Price/Earnings (TTM),26.92257
Price/Sales (TTM),4.03749
Price/Book (MRQ),6.1901
Price/Cash Flow (TTM),6.71652
5yr Low,162.71
5yr High,700.99
5yr Avg Return,0.13756666666666667
EPS Growth 5yr,0.9049605
Revenue Growth 5yr,0.2745189
Dividend Growth 5yr,
Short Int Current Month,10887930.0
Short Int Prev Month,12053104.0
Short Int Pct of Float,0.024824600000000002
Days to Cover,1.09259
Float,438.597
Shares Outstanding,445.0205
Institutions Holding Shares,2304.0
% Held by Institutions,0.777875
FCF Growth 5yr,-2.1605446630063008
