,TRUE
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,4.625
Growth 1yr High Est,9.5
Growth 1yr Consensus Est,7.0625
Growth 2yr Low Est,2.3125
Growth 2yr High Est,4.666666666666667
Growth 2yr Consensus Est,3.4895833333333335
Growth 5yr Low Est,1.15625
Growth 5yr High Est,2.3333333333333335
Growth 5yr Consensus Est,1.7447916666666667
Growth 5yr Actual/Est,-1.5007974481658695
Growth 3yr Historic,-2.2280701754385968
