,TRUE
% Above Low,0.9154000000000001
% Held by Institutions,0.9242
52-Wk Range,['1.30 - 4.09']
Annual Dividend $,
Annual Dividend %,
Ask,2.63
Ask Size,2400.0
B/A Ratio,0.3333333333333333
B/A Size,800x2400
Beta,1.3
Bid,2.46
Bid Size,800.0
Closing Price,2.49
Day Change $,-0.02
Day Change %,-0.008
Day High,2.57
Day Low,2.44
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.27
Ex-dividend Date,No dividend
Historical Volatility,0.7000000000000001
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,219.4M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,2.51
Shares Outstanding,88.1M
Short Interest,0.0285
Today's Open,2.52
Volume,329579.0
Volume 10-day Avg,1367259.0
Volume Past Day,(Light)
