,TRUE
Price/Earnings (TTM),
Price/Sales (TTM),1.29547
Price/Book (MRQ),1.05768
Price/Cash Flow (TTM),
5yr Low,1.3
5yr High,14.55
5yr Avg Return,-0.22365
EPS Growth 5yr,
Revenue Growth 5yr,-0.0354391
Dividend Growth 5yr,
Short Int Current Month,2091819.0
Short Int Prev Month,1650050.0
Short Int Pct of Float,0.028548399999999998
Days to Cover,1.81336
Float,73.29223
Shares Outstanding,88.11316
Institutions Holding Shares,158.0
% Held by Institutions,0.924182
FCF Growth 5yr,-0.9443410673188092
