,KD
Price/Earnings (TTM),
Price/Sales (TTM),0.14528
Price/Book (MRQ),1.53674
Price/Cash Flow (TTM),
5yr Low,7.93
5yr High,52.0
5yr Avg Return,-0.5166499999999999
Short Int Current Month,12183581.0
Short Int Prev Month,11751438.0
Short Int Pct of Float,0.060073800000000004
Days to Cover,3.92015
Float,202.915
Shares Outstanding,226.7901
Institutions Holding Shares,765.0
% Held by Institutions,0.6348210000000001
FCF Growth 5yr,-4.793818646232439
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
