,KD
% Above Low,0.4098
% Held by Institutions,0.6347999999999999
52-Wk Range,['7.93 - 20.18']
Annual Dividend $,
Annual Dividend %,
Ask,11.1
Ask Size,800.0
B/A Ratio,0.5
B/A Size,400x800
Beta,
Bid,10.98
Bid Size,400.0
Closing Price,11.18
Day Change $,0.16
Day Change %,0.014499999999999999
Day High,11.23
Day Low,10.94
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-6.67
Ex-dividend Date,No dividend
Historical Volatility,0.633
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,2.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,11.02
Shares Outstanding,226.8M
Short Interest,0.0601
Today's Open,10.99
Volume,1644693.0
Volume 10-day Avg,2306842.0
Volume Past Day,(Light)
