,KIDS
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-12.555555555555557
Growth 2yr High Est,-3.2500000000000004
Growth 2yr Consensus Est,-7.902777777777779
Growth 5yr Low Est,-12.555555555555557
Growth 5yr High Est,-3.2500000000000004
Growth 5yr Consensus Est,-7.902777777777779
Growth 5yr Actual/Est,-1.7285490219000859
Growth 3yr Historic,0.09942716857610479
