,KIDS
% Above Low,0.21230000000000002
% Held by Institutions,0.6884999999999999
52-Wk Range,['36.36 - 62.61']
Annual Dividend $,
Annual Dividend %,
Ask,52.0
Ask Size,11500.0
B/A Ratio,0.017391304347826087
B/A Size,200x11500
Beta,0.8
Bid,17.62
Bid Size,200.0
Closing Price,44.08
Day Change $,0.07
Day Change %,0.0016
Day High,44.64
Day Low,43.55
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.39
Ex-dividend Date,No dividend
Historical Volatility,0.547
Last (size),31.0
Last (time),1:00p ET 11/25/22
Market Cap,1.0B
"P/E Ratio (TTM, GAAP)",113.72
Prev Close,44.01
Shares Outstanding,22.9M
Short Interest,0.11359999999999999
Today's Open,44.0
Volume,77201.0
Volume 10-day Avg,89233.0
Volume Past Day,(Below Average)
