,KIDS
Price/Earnings (TTM),113.7226
Price/Sales (TTM),8.69068
Price/Book (MRQ),2.63287
Price/Cash Flow (TTM),46.7871
5yr Low,14.0
5yr High,73.91
5yr Avg Return,0.18805000000000002
EPS Growth 5yr,
Revenue Growth 5yr,0.2132534
Dividend Growth 5yr,
Short Int Current Month,1743841.0
Short Int Prev Month,1727557.0
Short Int Pct of Float,0.1135951
Days to Cover,10.25065
Float,15.35167
Shares Outstanding,22.8915
Institutions Holding Shares,189.0
% Held by Institutions,0.688545
FCF Growth 5yr,0.40566015844541425
