,HSY
Price/Earnings (TTM),35.82644
Price/Sales (TTM),4.7498
Price/Book (MRQ),15.54835
Price/Cash Flow (TTM),24.57908
5yr Low,89.1
5yr High,241.45
5yr Avg Return,0.14546666666666666
EPS Growth 5yr,0.104835
Revenue Growth 5yr,0.0381372
Dividend Growth 5yr,0.0725963
Short Int Current Month,2676977.0
Short Int Prev Month,2507318.0
Short Int Pct of Float,0.0182911
Days to Cover,1.95662
Float,146.4827
Shares Outstanding,205.0826
Institutions Holding Shares,1606.0
% Held by Institutions,0.7631600000000001
FCF Growth 5yr,0.13066464170416425
