,HSY
% Below High,0.0318
% Held by Institutions,0.7631999999999999
52-Wk Range,['175.08 - 241.45']
Annual Dividend $,4.14
Annual Dividend %,0.0177
Ask,238.37
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.4
Bid,233.57
Bid Size,100.0
Closing Price,233.76
Day Change $,1.59
Day Change %,0.0068000000000000005
Day High,233.93
Day Low,231.94
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",6.52
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.21
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,47.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",35.83
Prev Close,232.17
Shares Outstanding,205.1M
Short Interest,0.0183
Today's Open,233.22
Volume,281755.0
Volume 10-day Avg,1256863.0
Volume Past Day,(Light)
