,WSM
% Above Low,0.1468
% Held by Institutions,1.0053
52-Wk Range,['101.58 - 209.76']
Annual Dividend $,3.12
Annual Dividend %,0.0255
Ask,117.7
Ask Size,400.0
B/A Ratio,0.75
B/A Size,300x400
Beta,1.6
Bid,116.49
Bid Size,300.0
Closing Price,116.49
Day Change $,-5.93
Day Change %,-0.0484
Day High,119.34
Day Low,116.2
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",16.5
Ex-dividend,2022-10-20 00:00:00
Ex-dividend Date,10/20/22
Historical Volatility,0.545
Last (size),21.0
Last (time),7:00p ET 11/28/22
Market Cap,7.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.42
Prev Close,122.42
Shares Outstanding,66.6M
Short Interest,0.1612
Today's Open,117.48
Volume,1536662.0
Volume 10-day Avg,1587625.0
Volume Past Day,(Average)
