,NWBI
Price/Earnings (TTM),15.00507
Price/Sales (TTM),3.7898
Price/Book (MRQ),1.32418
Price/Cash Flow (TTM),13.87298
5yr Low,8.52
5yr High,18.81
5yr Avg Return,-0.007983333333333335
EPS Growth 5yr,0.19751439999999998
Revenue Growth 5yr,0.0390046
Dividend Growth 5yr,0.056562400000000006
Short Int Current Month,8800322.0
Short Int Prev Month,8836906.0
Short Int Pct of Float,0.0701384
Days to Cover,13.21568
Float,125.7317
Shares Outstanding,126.9884
Institutions Holding Shares,281.0
% Held by Institutions,0.6657540000000001
FCF Growth 5yr,-0.13903743315508021
