,NWBI
% Below High,0.0078000000000000005
% Held by Institutions,0.6658
52-Wk Range,['12.04 - 15.35']
Annual Dividend $,0.8
Annual Dividend %,0.0525
Ask,15.77
Ask Size,100.0
Ask close,18.74
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,14.66
Bid Size,100.0
Bid close,11.65
Change Since Close,0.00| |(0.00%)
Closing Price,15.23
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-14 00:00:00
"EPS (TTM, GAAP)",1.01
Ex-dividend,2022-11-02 00:00:00
Ex-dividend Date,11/02/22
Historical Volatility,0.223
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,15.23
Market Cap,1.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.01
Prev Close,15.23
Shares Outstanding,127.0M
Short Interest,0.0701
Today's Open,
Volume,32.0
Volume 10-day Avg,589584.0
Volume Past Day,(Light)
