,KDNY
% Below High,0.16510000000000002
% Held by Institutions,0.9661
52-Wk Range,['11.16 - 23.86']
Annual Dividend $,
Annual Dividend %,
Ask,20.15
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.0
Bid,19.24
Bid Size,100.0
Closing Price,19.92
Day Change $,-1.5
Day Change %,-0.07
Day High,21.47
Day Low,19.86
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.83
Ex-dividend Date,No dividend
Historical Volatility,0.584
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,21.42
Shares Outstanding,63.9M
Short Interest,0.032400000000000005
Today's Open,21.35
Volume,733454.0
Volume 10-day Avg,567721.0
Volume Past Day,(Heavy Day)
