,KZR
Next Earnings Announcement,2023-03-16 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.04504504504504503
Growth 1yr High Est,-0.04761904761904767
Growth 1yr Consensus Est,-0.04633204633204635
Growth 2yr Low Est,0.09068502464728878
Growth 2yr High Est,-0.05880952380952381
Growth 2yr Consensus Est,0.015937750418882485
Growth 5yr Low Est,-0.04626743532033464
Growth 5yr High Est,-0.11839561483895056
Growth 5yr Consensus Est,-0.0823315250796426
Growth 5yr Actual/Est,-0.08041277944023939
Growth 3yr Historic,-0.09723970251716246
