,KZR
% Above Low,0.7329000000000001
% Held by Institutions,0.8390000000000001
52-Wk Range,['4.31 - 18.55']
Annual Dividend $,
Annual Dividend %,
Ask,10.95
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.2
Bid,6.25
Bid Size,100.0
Closing Price,7.46
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.02
Ex-dividend Date,No dividend
Historical Volatility,0.948
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,510.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,7.46
Shares Outstanding,68.4M
Short Interest,0.122
Today's Open,
Volume,173765.0
Volume 10-day Avg,652856.0
Volume Past Day,(Light)
