,COGT
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),3.55349
Price/Cash Flow (TTM),
5yr Low,1.18
5yr High,70.64
5yr Avg Return,0.28321999999999997
Short Int Current Month,4768703.0
Short Int Prev Month,4683982.0
Short Int Pct of Float,0.0715146
Days to Cover,6.13356
Float,69.8883
Shares Outstanding,69.89343
Institutions Holding Shares,172.0
% Held by Institutions,1.080283
FCF Growth 5yr,0.36818937481228436
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
