,COGT
% Below High,0.3691
% Held by Institutions,1.0803
52-Wk Range,['3.79 - 18.07']
Annual Dividend $,
Annual Dividend %,
Ask,15.3
Ask Size,3400.0
B/A Ratio,0.29411764705882354
B/A Size,1000x3400
Beta,1.7
Bid,11.45
Bid Size,1000.0
Closing Price,11.4
Day Change $,0.53
Day Change %,0.048799999999999996
Day High,11.41
Day Low,10.61
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.49
Ex-dividend Date,No dividend
Historical Volatility,0.866
Last (size),3.0
Last (time),12:59p ET 11/25/22
Market Cap,794.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,10.87
Shares Outstanding,69.9M
Short Interest,0.07150000000000001
Today's Open,10.75
Volume,1844190.0
Volume 10-day Avg,799369.0
Volume Past Day,(Heavy Day)
