,COGT
Next Earnings Announcement,2023-03-14 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.050000000000000044
Growth 2yr High Est,-0.255813953488372
Growth 2yr Consensus Est,-0.10290697674418597
Growth 5yr Low Est,0.050000000000000044
Growth 5yr High Est,-0.255813953488372
Growth 5yr Consensus Est,-0.10290697674418597
Growth 5yr Actual/Est,0.5349647311601274
Growth 3yr Historic,0.500666372318158
