,TRMB
% Above Low,0.1494
% Held by Institutions,0.9440999999999999
52-Wk Range,['49.99 - 89.30']
Annual Dividend $,
Annual Dividend %,
Ask,57.97
Ask Size,100.0
B/A Ratio,18.0
B/A Size,1800x100
Beta,1.6
Bid,57.08
Bid Size,1800.0
Closing Price,57.46
Day Change $,-1.08
Day Change %,-0.0184
Day High,58.3
Day Low,57.22
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.9
Ex-dividend Date,No dividend
Historical Volatility,0.418
Last (size),2.0
Last (time),3:59p ET 11/28/22
Market Cap,14.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",30.74
Prev Close,58.54
Shares Outstanding,246.6M
Short Interest,0.0121
Today's Open,57.76
Volume,869681.0
Volume 10-day Avg,923115.0
Volume Past Day,(Average)
