,TRMB
Price/Earnings (TTM),30.73692
Price/Sales (TTM),3.85429
Price/Book (MRQ),3.75467
Price/Cash Flow (TTM),22.16706
5yr Low,20.01
5yr High,96.49
5yr Avg Return,0.10098333333333333
EPS Growth 5yr,0.3001743
Revenue Growth 5yr,0.0914785
Dividend Growth 5yr,
Short Int Current Month,2977363.0
Short Int Prev Month,2678684.0
Short Int Pct of Float,0.012129099999999999
Days to Cover,1.62337
Float,245.7136
Shares Outstanding,246.6247
Institutions Holding Shares,898.0
% Held by Institutions,0.944111
FCF Growth 5yr,-0.039035373060815136
