,FORG
% Below High,0.2656
% Held by Institutions,0.5827
52-Wk Range,['11.94 - 29.44']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,14.93
Bid Size,
Closing Price,21.62
Day Change $,-0.05
Day Change %,-0.0023
Day High,21.76
Day Low,21.56
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.74
Ex-dividend Date,No dividend
Historical Volatility,0.868
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,21.67
Shares Outstanding,85.4M
Short Interest,0.1518
Today's Open,21.58
Volume,588046.0
Volume 10-day Avg,1987939.0
Volume Past Day,(Light)
