,FORG
Price/Earnings (TTM),
Price/Sales (TTM),5.1044
Price/Book (MRQ),5.91043
Price/Cash Flow (TTM),
5yr Low,11.94
5yr High,48.88
5yr Avg Return,-0.2108
Short Int Current Month,6292948.0
Short Int Prev Month,5134104.0
Short Int Pct of Float,0.1518101
Days to Cover,3.96009
Float,7.84666
Shares Outstanding,47.66637
Institutions Holding Shares,125.0
% Held by Institutions,0.582733
FCF Growth 5yr,1.1929571884602457
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
