,PG
Price/Earnings (TTM),25.43363
Price/Sales (TTM),4.32113
Price/Book (MRQ),8.04056
Price/Cash Flow (TTM),20.32398
5yr Low,70.73
5yr High,165.35
5yr Avg Return,0.09971666666666668
EPS Growth 5yr,0.0949552
Revenue Growth 5yr,0.0427031
Dividend Growth 5yr,0.054784
Short Int Current Month,14378327.0
Short Int Prev Month,13907989.0
Short Int Pct of Float,0.0060758
Days to Cover,2.14569
Float,2366.793
Shares Outstanding,2369.7
Institutions Holding Shares,3944.0
% Held by Institutions,0.629086
FCF Growth 5yr,-0.05619929594539549
