,PG
% Below High,0.1119
% Held by Institutions,0.6291
52-Wk Range,['122.18 - 165.35']
Annual Dividend $,3.65
Annual Dividend %,0.024900000000000002
Ask,146.86
Ask Size,400.0
B/A Ratio,1.0
B/A Size,400x400
Beta,0.4
Bid,146.84
Bid Size,400.0
Day Change $,0.12
Day Change %,0.0008
Day High,147.34
Day Low,146.4
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",5.77
Ex-dividend,2022-10-20 00:00:00
Ex-dividend Date,10/20/22
Historical Volatility,0.22399999999999998
Last (size),300.0
Last (time),10:40a ET 11/28/22
Market Cap,348.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",25.43
Prev Close,146.72
Price,146.84
Shares Outstanding,2.4B
Short Interest,0.0060999999999999995
Today's Open,146.79
Volume Past Day,(Light)
