,SRE
Price/Earnings (TTM),22.9499
Price/Sales (TTM),3.46513
Price/Book (MRQ),1.96345
Price/Cash Flow (TTM),16.66048
5yr Low,88.0
5yr High,176.47
5yr Avg Return,0.06893333333333333
EPS Growth 5yr,-0.059876500000000006
Revenue Growth 5yr,0.0473682
Dividend Growth 5yr,0.0794264
Short Int Current Month,2710644.0
Short Int Prev Month,2588117.0
Short Int Pct of Float,0.008629900000000001
Days to Cover,2.06455
Float,314.1144
Shares Outstanding,314.3334
Institutions Holding Shares,1309.0
% Held by Institutions,0.8733369999999999
FCF Growth 5yr,0.3714685650786782
