,SRE
% Below High,0.08039999999999999
% Held by Institutions,0.8733
52-Wk Range,['119.56 - 176.47']
Annual Dividend $,4.58
Annual Dividend %,0.027999999999999997
Ask,162.35
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,0.7
Bid,162.26
Bid Size,300.0
Day Change $,-1.17
Day Change %,-0.0072
Day High,163.07
Day Low,161.16
Dividend Pay Date,2023-01-15 00:00:00
"EPS (TTM, GAAP)",7.12
Ex-dividend,2022-12-21 00:00:00
Ex-dividend Date,12/21/22
Historical Volatility,0.23800000000000002
Last (size),100.0
Last (time),3:14p ET 11/28/22
Market Cap,51.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",22.95
Prev Close,163.46
Price,162.29
Shares Outstanding,314.3M
Short Interest,0.0086
Today's Open,162.11
Volume Past Day,(Light)
