,OSCR
% Above Low,0.22219999999999998
% Held by Institutions,0.8261
52-Wk Range,['2.34 - 11.07']
Annual Dividend $,
Annual Dividend %,
Ask,2.86
Ask Size,600.0
B/A Ratio,1.0
B/A Size,600x600
Beta,
Bid,2.85
Bid Size,600.0
Day Change $,-0.01
Day Change %,-0.0034999999999999996
Day High,2.88
Day Low,2.81
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.74
Ex-dividend Date,No dividend
Historical Volatility,0.8540000000000001
Last (size),5.0
Last (time),9:41a ET 11/28/22
Market Cap,614.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.87
Price,2.86
Shares Outstanding,214.8M
Short Interest,0.0461
Today's Open,2.83
Volume Past Day,(Light)
