,FLO
% Below High,0.0027
% Held by Institutions,0.6867
52-Wk Range,['24.15 - 29.84']
Annual Dividend $,0.88
Annual Dividend %,0.0296
Ask,47.57
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.4
Bid,28.0
Bid Size,200.0
Closing Price,29.76
Day Change $,0.17
Day Change %,0.005699999999999999
Day High,29.84
Day Low,29.64
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",1.03
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.24300000000000002
Last (size),69.0
Last (time),5:00p ET 11/25/22
Market Cap,6.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.97
Prev Close,29.59
Shares Outstanding,211.1M
Short Interest,0.0286
Today's Open,29.77
Volume,682866.0
Volume 10-day Avg,1679497.0
Volume Past Day,(Light)
