,FLO
Price/Earnings (TTM),28.96886
Price/Sales (TTM),1.33499
Price/Book (MRQ),4.37934
Price/Cash Flow (TTM),17.44219
5yr Low,17.42
5yr High,29.73
5yr Avg Return,0.07881666666666667
EPS Growth 5yr,0.04448680000000001
Revenue Growth 5yr,0.0197726
Dividend Growth 5yr,0.0583751
Short Int Current Month,5590565.0
Short Int Prev Month,5091900.0
Short Int Pct of Float,0.028648600000000003
Days to Cover,3.33192
Float,195.3815
Shares Outstanding,211.1331
Institutions Holding Shares,495.0
% Held by Institutions,0.686685
FCF Growth 5yr,0.1454072767134349
