,FLO
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.032258064516129004
Growth 1yr High Est,0.0078125
Growth 1yr Consensus Est,0.020035282258064502
Growth 2yr Low Est,0.020035282258064502
Growth 2yr High Est,0.04654190891472865
Growth 2yr Consensus Est,0.033288595586396574
Growth 5yr Low Est,0.09187808676481715
Growth 5yr High Est,0.10316786167385916
Growth 5yr Consensus Est,0.09752297421933816
Growth 5yr Actual/Est,0.0995234458364114
Growth 3yr Historic,0.07778705470737915
