,RUTH
% Above Low,0.1524
% Held by Institutions,0.8753
52-Wk Range,['15.16 - 24.93']
Annual Dividend $,0.56
Annual Dividend %,0.0308
Ask,17.48
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.9
Bid,17.45
Bid Size,200.0
Day Change $,-0.71
Day Change %,-0.0391
Day High,18.18
Day Low,17.37
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",1.18
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.466
Last (size),100.0
Last (time),1:23p ET 11/28/22
Market Cap,580.0M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",15.38
Prev Close,18.18
Price,17.47
Shares Outstanding,33.2M
Short Interest,0.0421
Today's Open,18.11
Volume Past Day,(Light)
