,RUTH
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.1250000000000001
Growth 1yr High Est,-0.096551724137931
Growth 1yr Consensus Est,-0.11077586206896556
Growth 2yr Low Est,-0.10031512605042014
Growth 2yr High Est,-0.013924717030797673
Growth 2yr Consensus Est,-0.05711992154060891
Growth 5yr Low Est,-0.05015756302521007
Growth 5yr High Est,-0.0069623585153988365
Growth 5yr Consensus Est,-0.028559960770304454
Growth 5yr Actual/Est,-1.3150763914448125
Growth 3yr Historic,-1.3361704085388295
