,RUTH
Price/Earnings (TTM),15.38032
Price/Sales (TTM),1.22125
Price/Book (MRQ),4.34202
Price/Cash Flow (TTM),9.91727
5yr Low,2.32
5yr High,33.95
5yr Avg Return,-0.02668333333333333
EPS Growth 5yr,0.0506912
Revenue Growth 5yr,0.0214352
Dividend Growth 5yr,
Short Int Current Month,1194094.0
Short Int Prev Month,1573377.0
Short Int Pct of Float,0.04213720000000001
Days to Cover,2.54862
Float,31.30964
Shares Outstanding,33.20214
Institutions Holding Shares,222.0
% Held by Institutions,0.875291
FCF Growth 5yr,-2.5125438487447607
