,ARCT
Price/Earnings (TTM),
Price/Sales (TTM),8.47772
Price/Book (MRQ),2.99717
Price/Cash Flow (TTM),
5yr Low,4.11
5yr High,129.71
5yr Avg Return,0.5266166666666666
EPS Growth 5yr,
Revenue Growth 5yr,-0.095211
Dividend Growth 5yr,
Short Int Current Month,2603248.0
Short Int Prev Month,2885424.0
Short Int Pct of Float,0.1140738
Days to Cover,2.39359
Float,22.82073
Shares Outstanding,26.49287
Institutions Holding Shares,172.0
% Held by Institutions,0.760085
FCF Growth 5yr,
