,ARCT
% Above Low,0.40850000000000003
% Held by Institutions,0.7601
52-Wk Range,['11.70 - 48.75']
Annual Dividend $,
Annual Dividend %,
Ask,17.77
Ask Size,1000.0
B/A Ratio,0.2
B/A Size,200x1000
Beta,2.5
Bid,16.4
Bid Size,200.0
Closing Price,16.48
Day Change $,0.05
Day Change %,0.003
Day High,16.6
Day Low,16.06
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.56
Ex-dividend Date,No dividend
Historical Volatility,1.075
Last (size),9.0
Last (time),12:59p ET 11/25/22
Market Cap,436.3M
"P/E Ratio (TTM, GAAP)",
Prev Close,16.43
Shares Outstanding,26.5M
Short Interest,0.11410000000000001
Today's Open,16.29
Volume,108473.0
Volume 10-day Avg,659476.0
Volume Past Day,(Light)
