,OSK
% Above Low,0.3245
% Held by Institutions,0.92
52-Wk Range,['69.30 - 125.16']
Annual Dividend $,1.48
Annual Dividend %,0.0159
Ask,92.01
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,91.77
Bid Size,100.0
Day Change $,-1.22
Day Change %,-0.0131
Day High,92.52
Day Low,91.78
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",1.37
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.329
Last (size),100.0
Last (time),9:44a ET 11/28/22
Market Cap,6.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",67.95
Prev Close,93.01
Price,91.79
Shares Outstanding,65.4M
Short Interest,0.0161
Today's Open,92.12
Volume Past Day,(Light)
