,OSK
Next Earnings Announcement,2023-01-27 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.21478060046189384
Growth 1yr High Est,-0.304950495049505
Growth 1yr Consensus Est,-0.2598655477556994
Growth 2yr Low Est,0.21025675859258247
Growth 2yr High Est,0.3802882852387802
Growth 2yr Consensus Est,0.2952725219156813
Growth 5yr Low Est,-0.00870809869113015
Growth 5yr High Est,0.0960083401502543
Growth 5yr Consensus Est,0.04365012072956209
Growth 5yr Actual/Est,0.04257395647884288
Growth 3yr Historic,-0.11201140521395128
