,OSK
Price/Earnings (TTM),67.95251
Price/Sales (TTM),0.77283
Price/Book (MRQ),2.10318
Price/Cash Flow (TTM),30.53352
5yr Low,46.72
5yr High,137.47
5yr Avg Return,0.05243333333333333
Short Int Current Month,1045327.0
Short Int Prev Month,1072088.0
Short Int Pct of Float,0.0161106
Days to Cover,3.01873
Float,64.93589
Shares Outstanding,65.3938
Institutions Holding Shares,486.0
% Held by Institutions,0.920048
FCF Growth 5yr,-1.5722460862054646
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
