,BNGO
Price/Earnings (TTM),
Price/Sales (TTM),25.46149
Price/Book (MRQ),2.33944
Price/Cash Flow (TTM),
5yr Low,0.25
5yr High,15.69
5yr Avg Return,-0.12047999999999998
EPS Growth 5yr,
Revenue Growth 5yr,0.2149352
Dividend Growth 5yr,
Short Int Current Month,42738505.0
Short Int Prev Month,45768609.0
Short Int Pct of Float,0.1465451
Days to Cover,4.65116
Float,291.3763
Shares Outstanding,296.9245
Institutions Holding Shares,188.0
% Held by Institutions,0.255213
FCF Growth 5yr,0.2661394780030777
