,BNGO
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.72
Growth 1yr High Est,0.7916666666666667
Growth 1yr Consensus Est,0.7558333333333334
Growth 2yr Low Est,0.3483720930232558
Growth 2yr High Est,0.38420542635658916
Growth 2yr Consensus Est,0.36628875968992247
Growth 5yr Low Est,-0.14557262618822125
Growth 5yr High Est,-0.08548075264046534
Growth 5yr Consensus Est,-0.1155266894143433
Growth 5yr Actual/Est,-0.12669077348579516
Growth 3yr Historic,-0.2843383584589615
