,TGI
Price/Earnings (TTM),8.33826
Price/Sales (TTM),0.56469
Price/Book (MRQ),
Price/Cash Flow (TTM),5.80413
5yr Low,3.02
5yr High,31.9
5yr Avg Return,0.013883333333333319
EPS Growth 5yr,
Revenue Growth 5yr,-0.16200130000000001
Dividend Growth 5yr,
Short Int Current Month,5565100.0
Short Int Prev Month,5038274.0
Short Int Pct of Float,0.08722429999999999
Days to Cover,4.45608
Float,63.89713
Shares Outstanding,65.0009
Institutions Holding Shares,226.0
% Held by Institutions,0.9279179999999999
FCF Growth 5yr,-0.08372878275053242
