,TGI
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.430379746835443
Growth 1yr High Est,-0.3258426966292135
Growth 1yr Consensus Est,-0.37811122173232825
Growth 2yr Low Est,0.029254571026722964
Growth 2yr High Est,0.12874531835205988
Growth 2yr Consensus Est,0.07899994468939142
Growth 5yr Low Est,0.029254571026722964
Growth 5yr High Est,0.12874531835205988
Growth 5yr Consensus Est,0.07899994468939142
Growth 5yr Actual/Est,-7.042355514768848
Growth 3yr Historic,-7.08610086100861
