,TGI
% Above Low,0.4247
% Held by Institutions,0.9279000000000001
52-Wk Range,['7.84 - 27.85']
Annual Dividend $,
Annual Dividend %,
Ask,12.49
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.7
Bid,10.8
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,11.17
Day Change $,-0.67
Day Change %,-0.056600000000000004
Day High,11.71
Day Low,11.08
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.42
Ex-dividend Date,No dividend
Historical Volatility,0.6940000000000001
Last (size),1.0
Last (time),4:10p ET 11/28/22
Last Trade,0.0
Market Cap,726.1M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.34
Prev Close,11.84
Shares Outstanding,65.0M
Short Interest,0.0872
Today's Open,11.71
Volume,690484.0
Volume 10-day Avg,940060.0
Volume Past Day,(Light)
