,CG
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,1.441717791411043
Growth 1yr High Est,1.6863905325443787
Growth 1yr Consensus Est,1.5640541619777109
Growth 2yr Low Est,0.5839242223386873
Growth 2yr High Est,0.82557412089774
Growth 2yr Consensus Est,0.7047491716182137
Growth 5yr Low Est,0.2919621111693437
Growth 5yr High Est,0.41278706044887
Growth 5yr Consensus Est,0.35237458580910686
Growth 5yr Actual/Est,0.35210084653972823
Growth 3yr Historic,0.41244619799139165
