,CG
% Above Low,0.1948
% Held by Institutions,0.4878
52-Wk Range,['24.59 - 57.00']
Annual Dividend $,1.23
Annual Dividend %,0.0417
Ask,29.72
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,29.1
Bid Size,100.0
Closing Price,29.38
Day Change $,-0.25
Day Change %,-0.0084
Day High,29.52
Day Low,28.96
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",4.79
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.48700000000000004
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,10.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.13
Prev Close,29.63
Shares Outstanding,363.6M
Short Interest,0.06509999999999999
Today's Open,29.46
Volume,1126919.0
Volume 10-day Avg,2942251.0
Volume Past Day,(Light)
