,CG
Price/Earnings (TTM),6.1276
Price/Sales (TTM),1.86813
Price/Book (MRQ),1.74508
Price/Cash Flow (TTM),5.62042
5yr Low,15.09
5yr High,60.62
5yr Avg Return,0.18181666666666663
EPS Growth 5yr,2.3071010000000003
Revenue Growth 5yr,0.3102378
Dividend Growth 5yr,-0.0985573
Short Int Current Month,15637725.0
Short Int Prev Month,12583625.0
Short Int Pct of Float,0.0650572
Days to Cover,3.80164
Float,240.2879
Shares Outstanding,363.6053
Institutions Holding Shares,585.0
% Held by Institutions,0.48776400000000003
FCF Growth 5yr,-0.5423018062767267
