,KTOS
Price/Earnings (TTM),
Price/Sales (TTM),1.36846
Price/Book (MRQ),1.25894
Price/Cash Flow (TTM),
5yr Low,5.0
5yr High,34.11
5yr Avg Return,0.048533333333333324
EPS Growth 5yr,
Revenue Growth 5yr,0.0841113
Dividend Growth 5yr,
Short Int Current Month,2358205.0
Short Int Prev Month,2564781.0
Short Int Pct of Float,0.019069100000000002
Days to Cover,2.53058
Float,123.7774
Shares Outstanding,125.957
Institutions Holding Shares,313.0
% Held by Institutions,0.845801
FCF Growth 5yr,0.7569393045045398
