,KTOS
% Above Low,0.032
% Held by Institutions,0.8458
52-Wk Range,['9.06 - 22.26']
Annual Dividend $,
Annual Dividend %,
Ask,9.86
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,9.0
Bid Size,100.0
Closing Price,9.35
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.24
Ex-dividend Date,No dividend
Historical Volatility,0.533
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,1.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,9.35
Shares Outstanding,126.0M
Short Interest,0.0191
Today's Open,
Volume,283623.0
Volume 10-day Avg,834562.0
Volume Past Day,(Light)
