,TPB
% Above Low,0.12119999999999999
% Held by Institutions,0.8123999999999999
52-Wk Range,['18.81 - 38.90']
Annual Dividend $,0.24
Annual Dividend %,0.0113
Ask,24.7
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.5
Bid,20.3
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,21.09
Day Change $,-0.18
Day Change %,-0.0085
Day High,21.52
Day Low,21.04
Dividend Pay Date,2023-01-06 00:00:00
"EPS (TTM, GAAP)",1.97
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.444
Last (size),1.0
Last (time),4:10p ET 11/28/22
Last Trade,0.0
Market Cap,370.4M
"P/E Ratio (TTM, GAAP)",10.8
Prev Close,21.27
Shares Outstanding,17.6M
Short Interest,0.0727
Today's Open,21.04
Volume,130430.0
Volume 10-day Avg,131397.0
Volume Past Day,(Average)
