,TPB
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.5433526011560694
Growth 1yr High Est,0.3622448979591837
Growth 1yr Consensus Est,0.45279874955762656
Growth 2yr Low Est,0.23984109458552538
Growth 2yr High Est,0.2279389283803409
Growth 2yr Consensus Est,0.23389001148293315
Growth 5yr Low Est,0.11992054729276269
Growth 5yr High Est,0.11396946419017046
Growth 5yr Consensus Est,0.11694500574146657
Growth 5yr Actual/Est,0.1203671442466808
Growth 3yr Historic,0.14726112577966555
