,TPB
Price/Earnings (TTM),10.79509
Price/Sales (TTM),0.8961
Price/Book (MRQ),2.89994
Price/Cash Flow (TTM),8.53306
5yr Low,14.09
5yr High,61.08
5yr Avg Return,0.08959999999999999
EPS Growth 5yr,0.0925874
Revenue Growth 5yr,0.1665258
Dividend Growth 5yr,
Short Int Current Month,647355.0
Short Int Prev Month,635161.0
Short Int Pct of Float,0.07265869999999999
Days to Cover,3.77247
Float,16.87888
Shares Outstanding,17.56398
Institutions Holding Shares,149.0
% Held by Institutions,0.8123900000000001
FCF Growth 5yr,1.330780492212604
